,Breast(C50)-Male age 0-85+,,,,,,,,age 0-4,,,,,,,,age 5-9,,,,,,,,age 10-14,,,,,,,,age 15-19,,,,,,,,age 20-24,,,,,,,,age 25-29,,,,,,,,age 30-34,,,,,,,,age 35-39,,,,,,,age 40-44,,,,,,,,,age 45-49,,,,,,,age 50-54,,,,,,,,age 55-59,,,,,,,,age 60-64,,,,,,,,age 65-69,,,,,,,,age 70-74,,,,,,,,age 75-79,,,,,,,,age 80-84,,,,,,,,age 85+,,,,,,,,
Continent,Population,Cases,Crude Rate,Std Dev,ASR ,(W),Cumulative Rate,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR(W) ,Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,,https://ci5.iarc.fr/CI5-XI/Pages/summary_table_site_sel.aspx
Asia,"*Saudi Arabia, Riyadh: Saudi",29,0.30,0.05,0.40,0.080,NULL,"*Saudi Arabia, Riyadh: Saudi",1,0.10,0.08,0.10,0.08,0.000,0.000,"*Saudi Arabia, Riyadh: Saudi",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Saudi Arabia, Riyadh: Saudi",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Saudi Arabia, Riyadh: Saudi",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Saudi Arabia, Riyadh: Saudi",2,0.20,0.12,0.20,0.12,0.000,0.001,"*Saudi Arabia, Riyadh: Saudi",0,0.0 (0.00),,0.000,0.000,0.000,0.000,"*Saudi Arabia, Riyadh: Saudi",1,0.10,0.10,0.10,0.10,0.000,0.001,"*Saudi Arabia, Riyadh: Saudi",1,0.1 (0.13),,0.10,0.13,0.000,0.001,"*Saudi Arabia, Riyadh: Saudi",1,0.20,0.15,0.20,0.15,0.000,0.001,"*Saudi Arabia, Riyadh: Saudi",4,0.70,0.34,0.70,0.34,0.000,0.002,"*Saudi Arabia, Riyadh: Saudi",3,0.60,0.35,0.60,0.35,0.000,0.002,"*Saudi Arabia, Riyadh: Saudi",2,0.60,0.41,0.60,0.41,0.000,0.002,"*Saudi Arabia, Riyadh: Saudi",1,0.40,0.44,0.40,0.44,0.000,0.002,"*Saudi Arabia, Riyadh: Saudi",6,4.40,1.78,4.40,1.78,0.020,0.009,"*Saudi Arabia, Riyadh: Saudi",3,2.40,1.39,2.40,1.39,0.010,0.007,"*Saudi Arabia, Riyadh: Saudi",2,..,,..,,..,,"*Saudi Arabia, Riyadh: Saudi",0,..,,..,,..,,"*Saudi Arabia, Riyadh: Saudi",2,NULL,NULL,NULL,NULL,NULL,NULL,
Asia," Thailand, Bangkok",27,0.20,0.05,0.20,0.050,NULL," Thailand, Bangkok",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Bangkok",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Bangkok",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Bangkok",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Bangkok",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Bangkok",2,0.20,0.12,0.20,0.12,0.000,0.001," Thailand, Bangkok",1,0.10,0.08,0.10,0.08,0.000,0.000," Thailand, Bangkok",1,0.1 (0.09),,0.10,0.09,0.000,0.000," Thailand, Bangkok",1,0.10,0.10,0.10,0.10,0.000,0.001," Thailand, Bangkok",3,0.40,0.21,0.40,0.21,0.000,0.001," Thailand, Bangkok",5,0.70,0.33,0.70,0.33,0.000,0.002," Thailand, Bangkok",1,0.20,0.20,0.20,0.20,0.000,0.001," Thailand, Bangkok",3,0.90,0.52,0.90,0.52,0.000,0.003," Thailand, Bangkok",2,0.90,0.63,0.90,0.63,0.000,0.003," Thailand, Bangkok",4,2.30,1.13,2.30,1.13,0.010,0.006," Thailand, Bangkok",1,0.90,0.89,0.90,0.89,0.000,0.004," Thailand, Bangkok",2,3.00,2.10,3.00,2.10,0.010,0.010," Thailand, Bangkok",1,2.50,2.50,2.50,2.50,NULL,NULL,
Asia," Thailand, Chiang Mai",37,1.00,0.16,0.70,0.120,NULL," Thailand, Chiang Mai",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Chiang Mai",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Chiang Mai",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Chiang Mai",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Chiang Mai",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Chiang Mai",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Chiang Mai",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Chiang Mai",1,0.4 (0.38),,0.40,0.38,0.000,0.002," Thailand, Chiang Mai",2,0.70,0.51,0.70,0.51,0.000,0.003," Thailand, Chiang Mai",6,1.90,0.78,1.90,0.78,0.010,0.004," Thailand, Chiang Mai",5,1.60,0.71,1.60,0.71,0.010,0.004," Thailand, Chiang Mai",9,3.70,1.22,3.70,1.22,0.020,0.006," Thailand, Chiang Mai",6,3.80,1.56,3.80,1.56,0.020,0.008," Thailand, Chiang Mai",1,1.00,1.01,1.00,1.01,0.010,0.005," Thailand, Chiang Mai",3,3.50,2.00,3.50,2.00,0.020,0.010," Thailand, Chiang Mai",2,2.70,1.93,2.70,1.93,0.010,0.010," Thailand, Chiang Mai",2,4.60,3.24,4.60,3.24,0.020,0.016," Thailand, Chiang Mai",0,0.00,0.00,0.00,0.00,NULL,NULL,
Asia," Thailand, Chonburi",15,0.60,0.16,0.70,0.170,NULL," Thailand, Chonburi",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Chonburi",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Chonburi",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Chonburi",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Chonburi",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Chonburi",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Chonburi",1,0.40,0.42,0.40,0.42,0.000,0.002," Thailand, Chonburi",1,0.4 (0.43),,0.40,0.43,0.000,0.002," Thailand, Chonburi",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Chonburi",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Chonburi",1,0.70,0.70,0.70,0.70,0.000,0.003," Thailand, Chonburi",2,1.90,1.35,1.90,1.35,0.010,0.007," Thailand, Chonburi",3,4.20,2.42,4.20,2.42,0.020,0.012," Thailand, Chonburi",2,3.70,2.63,3.70,2.63,0.020,0.013," Thailand, Chonburi",1,2.40,2.36,2.40,2.36,0.010,0.012," Thailand, Chonburi",2,7.30,5.19,7.30,5.19,0.040,0.026," Thailand, Chonburi",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Chonburi",2,18.2 (12.86),,18.20,12.86,NULL,NULL,
Asia," Thailand, Khon Kaen",4,0.10,0.05,0.10,0.030,NULL," Thailand, Khon Kaen",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Khon Kaen",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Khon Kaen",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Khon Kaen",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Khon Kaen",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Khon Kaen",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Khon Kaen",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Khon Kaen",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Khon Kaen",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Khon Kaen",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Khon Kaen",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Khon Kaen",1,0.40,0.39,0.40,0.39,0.000,0.002," Thailand, Khon Kaen",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Khon Kaen",1,0.70,0.69,0.70,0.69,0.000,0.003," Thailand, Khon Kaen",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Khon Kaen",2,3.20,2.30,3.20,2.30,0.020,0.011," Thailand, Khon Kaen",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Khon Kaen",0,0.00,0.00,0.00,0.00,NULL,NULL,
Asia," Thailand, Lampang",7,0.40,0.15,0.20,0.090,NULL," Thailand, Lampang",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Lampang",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Lampang",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Lampang",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Lampang",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Lampang",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Lampang",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Lampang",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Lampang",1,0.60,0.65,0.60,0.65,0.000,0.003," Thailand, Lampang",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Lampang",1,0.60,0.58,0.60,0.58,0.000,0.003," Thailand, Lampang",1,0.70,0.68,0.70,0.68,0.000,0.003," Thailand, Lampang",1,1.00,1.02,1.00,1.02,0.010,0.005," Thailand, Lampang",1,1.40,1.40,1.40,1.40,0.010,0.007," Thailand, Lampang",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Lampang",1,2.10,2.09,2.10,2.09,0.010,0.010," Thailand, Lampang",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Lampang",1,7.20,7.21,7.20,7.21,NULL,NULL,
Asia,"*Thailand, Lopburi",22,1.40,0.31,1.20,0.260,NULL,"*Thailand, Lopburi",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Thailand, Lopburi",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Thailand, Lopburi",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Thailand, Lopburi",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Thailand, Lopburi",1,0.70,0.66,0.70,0.66,0.000,0.003,"*Thailand, Lopburi",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Thailand, Lopburi",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Thailand, Lopburi",1,0.9 (0.88),,0.9 (0.88),,0.00 (0.004),,"*Thailand, Lopburi",1,0.80,0.83,0.80,0.83,0.000,0.004,"*Thailand, Lopburi",1,0.90,0.86,0.90,0.86,0.000,0.004,"*Thailand, Lopburi",2,2.00,1.41,2.00,1.41,0.010,0.007,"*Thailand, Lopburi",2,2.50,1.79,2.50,1.79,0.010,0.009,"*Thailand, Lopburi",4,6.40,3.20,6.40,3.20,0.030,0.016,"*Thailand, Lopburi",2,4.30,3.05,4.30,3.05,0.020,0.015,"*Thailand, Lopburi",4,10.70,5.36,10.70,5.36,0.050,0.027,"*Thailand, Lopburi",1,3.90,3.93,3.90,3.93,0.020,0.020,"*Thailand, Lopburi",2,14.70,10.38,14.70,10.38,0.070,0.052,"*Thailand, Lopburi",1,16.30,16.26,16.30,16.26,NULL,NULL,
Asia," Thailand, Songkhla",5,0.10,0.06,0.10,0.060,NULL," Thailand, Songkhla",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Songkhla",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Songkhla",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Songkhla",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Songkhla",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Songkhla",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Songkhla",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Songkhla",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Songkhla",1,0.40,0.38,0.40,0.38,0.000,0.002," Thailand, Songkhla",1,0.40,0.41,0.40,0.41,0.000,0.002," Thailand, Songkhla",1,0.50,0.50,0.50,0.50,0.000,0.002," Thailand, Songkhla",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Songkhla",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Songkhla",1,1.10,1.09,1.10,1.09,0.010,0.005," Thailand, Songkhla",1,1.40,1.38,1.40,1.38,0.010,0.007," Thailand, Songkhla",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Songkhla",0,0.00,0.00,0.00,0.00,0.000,0.000," Thailand, Songkhla",0,0.00,0.00,0.00,0.00,NULL,NULL,
Asia," Turkey, Antalya",24,0.50,0.10,0.50,0.100,NULL," Turkey, Antalya",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Antalya",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Antalya",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Antalya",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Antalya",1,0.30,0.29,0.30,0.29,0.000,0.001," Turkey, Antalya",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Antalya",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Antalya",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Antalya",1,0.30,0.26,0.30,0.26,0.000,0.001," Turkey, Antalya",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Antalya",4,1.40,0.72,1.40,0.72,0.010,0.004," Turkey, Antalya",4,1.80,0.89,1.80,0.89,0.010,0.004," Turkey, Antalya",4,2.50,1.26,2.50,1.26,0.010,0.006," Turkey, Antalya",1,0.90,0.88,0.90,0.88,0.000,0.004," Turkey, Antalya",2,2.50,1.73,2.50,1.73,0.010,0.009," Turkey, Antalya",5,8.30,3.71,8.30,3.71,0.040,0.019," Turkey, Antalya",2,6.70,4.77,6.70,4.77,0.030,0.024," Turkey, Antalya",0,0.00,0.00,0.00,0.00,NULL,NULL,
Asia," Turkey, Bursa",49,0.80,0.11,0.70,0.100,NULL," Turkey, Bursa",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Bursa",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Bursa",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Bursa",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Bursa",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Bursa",1,0.20,0.17,0.20,0.17,0.000,0.001," Turkey, Bursa",2,0.30,0.24,0.30,0.24,0.000,0.001," Turkey, Bursa",1,0.20,0.19,0.20,0.19,0.000,0.001," Turkey, Bursa",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Bursa",5,1.10,0.51,1.10,0.51,0.010,0.003," Turkey, Bursa",8,2.10,0.74,2.10,0.74,0.010,0.004," Turkey, Bursa",7,2.20,0.84,2.20,0.84,0.010,0.004," Turkey, Bursa",4,1.80,0.88,1.80,0.88,0.010,0.004," Turkey, Bursa",9,5.70,1.89,5.70,1.89,0.030,0.009," Turkey, Bursa",6,5.20,2.12,5.20,2.12,0.030,0.011," Turkey, Bursa",4,4.70,2.34,4.70,2.34,0.020,0.012," Turkey, Bursa",2,4.80,3.37,4.80,3.37,0.020,0.017," Turkey, Bursa",0,0.00,0.00,0.00,0.00,NULL,NULL,
Asia," Turkey, Edirne",9,0.90,0.30,0.70,0.250,NULL," Turkey, Edirne",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Edirne",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Edirne",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Edirne",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Edirne",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Edirne",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Edirne",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Edirne",1,1.40,1.42,1.40,1.42,0.010,0.007," Turkey, Edirne",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Edirne",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Edirne",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Edirne",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Edirne",2,4.20,2.96,4.20,2.96,0.020,0.015," Turkey, Edirne",3,9.50,5.49,9.50,5.49,0.050,0.027," Turkey, Edirne",2,7.50,5.30,7.50,5.30,0.040,0.027," Turkey, Edirne",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Edirne",1,8.50,8.51,8.50,8.51,0.040,0.043," Turkey, Edirne",0,0.00,0.00,0.00,0.00,NULL,NULL,
Asia," Turkey, Erzurum",4,0.30,0.17,0.40,0.220,NULL," Turkey, Erzurum",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Erzurum",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Erzurum",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Erzurum",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Erzurum",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Erzurum",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Erzurum",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Erzurum",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Erzurum",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Erzurum",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Erzurum",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Erzurum",1,2.50,2.46,2.50,2.46,0.010,0.012," Turkey, Erzurum",1,3.10,3.05,3.10,3.05,0.020,0.015," Turkey, Erzurum",1,3.80,3.80,3.80,3.80,0.020,0.019," Turkey, Erzurum",1,4.80,4.77,4.80,4.77,0.020,0.024," Turkey, Erzurum",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Erzurum",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Erzurum",0,0.00,0.00,0.00,0.00,NULL,NULL,
Asia," Turkey, Eskisehir",25,1.30,0.26,1.10,0.230,NULL," Turkey, Eskisehir",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Eskisehir",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Eskisehir",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Eskisehir",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Eskisehir",1,0.50,0.55,0.50,0.55,0.000,0.003," Turkey, Eskisehir",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Eskisehir",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Eskisehir",3,2.10,1.19,2.10,1.19,0.010,0.006," Turkey, Eskisehir",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Eskisehir",5,3.60,1.62,3.60,1.62,0.020,0.008," Turkey, Eskisehir",1,0.80,0.83,0.80,0.83,0.000,0.004," Turkey, Eskisehir",1,1.00,0.97,1.00,0.97,0.000,0.005," Turkey, Eskisehir",2,2.60,1.81,2.60,1.81,0.010,0.009," Turkey, Eskisehir",6,10.30,4.20,10.30,4.20,0.050,0.021," Turkey, Eskisehir",3,6.70,3.89,6.70,3.89,0.030,0.019," Turkey, Eskisehir",2,6.10,4.34,6.10,4.34,0.030,0.022," Turkey, Eskisehir",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Eskisehir",1,15.30,15.33,15.30,15.33,NULL,NULL,
Asia," Turkey, Izmir",99,1.00,0.10,0.90,0.090,NULL," Turkey, Izmir",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Izmir",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Izmir",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Izmir",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Izmir",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Izmir",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Izmir",1,0.10,0.11,0.10,0.11,0.000,0.001," Turkey, Izmir",2,0.30,0.18,0.30,0.18,0.000,0.001," Turkey, Izmir",8,1.10,0.40,1.10,0.40,0.010,0.002," Turkey, Izmir",8,1.10,0.41,1.10,0.41,0.010,0.002," Turkey, Izmir",8,1.30,0.46,1.30,0.46,0.010,0.002," Turkey, Izmir",19,3.60,0.83,3.60,0.83,0.020,0.004," Turkey, Izmir",18,4.60,1.07,4.60,1.07,0.020,0.005," Turkey, Izmir",10,3.60,1.14,3.60,1.14,0.020,0.006," Turkey, Izmir",10,5.10,1.61,5.10,1.61,0.030,0.008," Turkey, Izmir",9,6.30,2.11,6.30,2.11,0.030,0.011," Turkey, Izmir",4,5.30,2.63,5.30,2.63,0.030,0.013," Turkey, Izmir",2,5.90,4.16,5.90,4.16,NULL,NULL,
Asia," Turkey, Samsun",21,0.70,0.15,0.70,0.160,NULL," Turkey, Samsun",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Samsun",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Samsun",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Samsun",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Samsun",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Samsun",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Samsun",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Samsun",1,0.50,0.45,0.50,0.45,0.000,0.002," Turkey, Samsun",1,0.50,0.49,0.50,0.49,0.000,0.002," Turkey, Samsun",2,0.90,0.66,0.90,0.66,0.000,0.003," Turkey, Samsun",1,0.60,0.56,0.60,0.56,0.000,0.003," Turkey, Samsun",1,0.60,0.63,0.60,0.63,0.000,0.003," Turkey, Samsun",4,3.30,1.66,3.30,1.66,0.020,0.008," Turkey, Samsun",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Samsun",4,6.20,3.09,6.20,3.09,0.030,0.015," Turkey, Samsun",4,7.30,3.64,7.30,3.64,0.040,0.018," Turkey, Samsun",1,4.40,4.39,4.40,4.39,0.020,0.022," Turkey, Samsun",2,27.80,19.66,27.80,19.66,NULL,NULL,
Asia," Turkey, Trabzon",8,0.40,0.15,0.40,0.160,NULL," Turkey, Trabzon",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Trabzon",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Trabzon",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Trabzon",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Trabzon",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Trabzon",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Trabzon",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Trabzon",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Trabzon",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Trabzon",1,0.80,0.79,0.80,0.79,0.000,0.004," Turkey, Trabzon",2,1.80,1.26,1.80,1.26,0.010,0.006," Turkey, Trabzon",1,1.10,1.09,1.10,1.09,0.010,0.005," Turkey, Trabzon",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Trabzon",1,2.00,1.95,2.00,1.95,0.010,0.010," Turkey, Trabzon",2,5.00,3.50,5.00,3.50,0.020,0.018," Turkey, Trabzon",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Trabzon",0,0.00,0.00,0.00,0.00,0.000,0.000," Turkey, Trabzon",1,20.10,20.09,20.10,20.09,NULL,NULL,
Asia,"Viet Nam, Ho Chi Minh City",52,0.40,0.05,0.50,0.070,NULL,"*Viet Nam, Ho Chi Minh City",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Viet Nam, Ho Chi Minh City",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Viet Nam, Ho Chi Minh City",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Viet Nam, Ho Chi Minh City",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Viet Nam, Ho Chi Minh City",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Viet Nam, Ho Chi Minh City",2,0.10,0.09,0.10,0.09,0.000,0.000,"*Viet Nam, Ho Chi Minh City",1,0.10,0.07,0.10,0.07,0.000,0.000,"*Viet Nam, Ho Chi Minh City",3,0.20,0.13,0.20,0.13,0.000,0.001,"*Viet Nam, Ho Chi Minh City",2,0.20,0.13,0.20,0.13,0.000,0.001,"*Viet Nam, Ho Chi Minh City",8,0.90,0.31,0.90,0.31,0.000,0.002,"*Viet Nam, Ho Chi Minh City",10,1.30,0.42,1.30,0.42,0.010,0.002,"*Viet Nam, Ho Chi Minh City",9,1.90,0.64,1.90,0.64,0.010,0.003,"*Viet Nam, Ho Chi Minh City",4,1.80,0.90,1.80,0.90,0.010,0.005,"*Viet Nam, Ho Chi Minh City",3,1.70,0.97,1.70,0.97,0.010,0.005,"*Viet Nam, Ho Chi Minh City",5,3.70,1.67,3.70,1.67,0.020,0.008,"*Viet Nam, Ho Chi Minh City",4,..,,..,,..,,"*Viet Nam, Ho Chi Minh City",1,..,,..,,..,,"*Viet Nam, Ho Chi Minh City",0,NULL,NULL,NULL,NULL,NULL,NULL,
