,Breast(C50)-Male age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,https://ci5.iarc.fr/CI5-XI/Pages/summary_table_site_sel.aspx
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,
Asia, Republic of Korea,73535,59.1 (0.22),41.2 (0.15),.., Republic of Korea,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Republic of Korea,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Republic of Korea,5,0.1 (0.03),0.1 (0.03),0.00 (0.000), Republic of Korea,13,0.2 (0.04),0.2 (0.04),0.00 (0.000), Republic of Korea,119,1.6 (0.14),1.6 (0.14),0.01 (0.001), Republic of Korea,789,8.6 (0.31),8.6 (0.31),0.04 (0.002), Republic of Korea,2644,27.3 (0.53),27.3 (0.53),0.14 (0.003), Republic of Korea,6553,60.9 (0.75),60.9 (0.75),0.30 (0.004), Republic of Korea,11484,106.1 (0.99),106.1 (0.99),0.53 (0.005), Republic of Korea,15393,146.5 (1.18),146.5 (1.18),0.73 (0.006), Republic of Korea,12850,132.0 (1.16),132.0 (1.16),0.66 (0.006), Republic of Korea,8090,113.8 (1.27),113.8 (1.27),0.57 (0.006), Republic of Korea,5867,105.2 (1.37),105.2 (1.37),0.53 (0.007), Republic of Korea,4208,82.3 (1.27),82.3 (1.27),0.41 (0.006), Republic of Korea,2891,65.6 (1.22),65.6 (1.22),0.33 (0.006), Republic of Korea,1553,49.2 (1.25),49.2 (1.25),0.25 (0.006), Republic of Korea,691,36.2 (1.38),36.2 (1.38),0.18 (0.007), Republic of Korea,385,29.1 (1.48),29.1 (1.48),..,
Asia, Kuwait,2089,29.5 (0.65),47.8 (1.21),.., Kuwait,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Kuwait,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Kuwait,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Kuwait,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Kuwait,9,1.3 (0.43),1.3 (0.43),0.01 (0.002), Kuwait,41,4.5 (0.70),4.5 (0.70),0.02 (0.004), Kuwait,90,10.9 (1.14),10.9 (1.14),0.05 (0.006), Kuwait,177,24.9 (1.87),24.9 (1.87),0.12 (0.009), Kuwait,293,52.8 (3.08),52.8 (3.08),0.26 (0.015), Kuwait,365,92.6 (4.85),92.6 (4.85),0.46 (0.024), Kuwait,314,124.2 (7.01),124.2 (7.01),0.62 (0.035), Kuwait,256,161.1 (10.07),161.1 (10.07),0.81 (0.050), Kuwait,224,223.1 (14.91),223.1 (14.91),1.12 (0.075), Kuwait,148,231.6 (19.04),231.6 (19.04),1.16 (0.095), Kuwait,87,209.5 (22.46),209.5 (22.46),1.05 (0.112), Kuwait,44,181.3 (27.33),181.3 (27.33),0.91 (0.137), Kuwait,26,214.0 (41.97),214.0 (41.97),1.07 (0.210), Kuwait,15,165.6 (42.77),165.6 (42.77),..,
Asia,"*Malaysia, Penang",1217,55.6 (1.59),51.7 (1.49),..,"*Malaysia, Penang",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Malaysia, Penang",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Malaysia, Penang",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Malaysia, Penang",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Malaysia, Penang",2,1.1 (0.76),1.1 (0.76),0.01 (0.004),"*Malaysia, Penang",11,5.8 (1.76),5.8 (1.76),0.03 (0.009),"*Malaysia, Penang",33,19.5 (3.39),19.5 (3.39),0.10 (0.017),"*Malaysia, Penang",73,44.5 (5.21),44.5 (5.21),0.22 (0.026),"*Malaysia, Penang",137,88.6 (7.57),88.6 (7.57),0.44 (0.038),"*Malaysia, Penang",197,143.2 (10.20),143.2 (10.20),0.72 (0.051),"*Malaysia, Penang",188,152.7 (11.14),152.7 (11.14),0.76 (0.056),"*Malaysia, Penang",180,175.6 (13.09),175.6 (13.09),0.88 (0.065),"*Malaysia, Penang",143,176.3 (14.75),176.3 (14.75),0.88 (0.074),"*Malaysia, Penang",93,165.5 (17.16),165.5 (17.16),0.83 (0.086),"*Malaysia, Penang",75,176.1 (20.33),176.1 (20.33),0.88 (0.102),"*Malaysia, Penang",46,..,..,..,"*Malaysia, Penang",32,..,..,..,"*Malaysia, Penang",7,..,..,..,
Asia,"*Philippines, Manila",7344,43.9 (0.51),53.9 (0.65),..,"*Philippines, Manila",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Philippines, Manila",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Philippines, Manila",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Philippines, Manila",6,0.4 (0.15),0.4 (0.15),0.00 (0.001),"*Philippines, Manila",29,1.5 (0.28),1.5 (0.29),0.01 (0.001),"*Philippines, Manila",91,4.9 (0.51),4.9 (0.52),0.02 (0.003),"*Philippines, Manila",277,20.6 (1.24),20.8 (1.25),0.10 (0.006),"*Philippines, Manila",454,40.8 (1.91),41.0 (1.92),0.20 (0.010),"*Philippines, Manila",860,85.1 (2.90),85.6 (2.92),0.43 (0.015),"*Philippines, Manila",1041,120.3 (3.73),121.0 (3.75),0.60 (0.019),"*Philippines, Manila",1114,154.9 (4.64),155.7 (4.67),0.78 (0.023),"*Philippines, Manila",1097,167.3 (5.05),168.2 (5.08),0.84 (0.025),"*Philippines, Manila",819,208.9 (7.30),210.0 (7.34),1.05 (0.037),"*Philippines, Manila",552,174.9 (7.45),175.9 (7.49),0.88 (0.037),"*Philippines, Manila",388,211.6 (10.74),212.7 (10.80),1.06 (0.054),"*Philippines, Manila",292,..,..,..,"*Philippines, Manila",164,..,..,..,"*Philippines, Manila",121,..,..,..,
Asia,"*Philippines, Rizal",7611,40.2 (0.46),49.7 (0.59),..,"*Philippines, Rizal",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Philippines, Rizal",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Philippines, Rizal",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Philippines, Rizal",3,0.2 (0.09),0.2 (0.09),0.00 (0.000),"*Philippines, Rizal",13,0.7 (0.19),0.7 (0.19),0.00 (0.001),"*Philippines, Rizal",87,4.7 (0.51),4.7 (0.51),0.02 (0.003),"*Philippines, Rizal",270,16.4 (1.00),16.4 (1.00),0.08 (0.005),"*Philippines, Rizal",564,40.9 (1.72),40.9 (1.72),0.20 (0.009),"*Philippines, Rizal",903,73.6 (2.45),73.7 (2.45),0.37 (0.012),"*Philippines, Rizal",1112,107.9 (3.23),107.9 (3.24),0.54 (0.016),"*Philippines, Rizal",1179,135.3 (3.94),135.3 (3.94),0.68 (0.020),"*Philippines, Rizal",1085,167.7 (5.09),167.7 (5.09),0.84 (0.025),"*Philippines, Rizal",924,194.0 (6.38),194.1 (6.39),0.97 (0.032),"*Philippines, Rizal",542,195.0 (8.38),195.1 (8.38),0.98 (0.042),"*Philippines, Rizal",397,189.2 (9.50),189.3 (9.50),0.95 (0.047),"*Philippines, Rizal",266,..,..,..,"*Philippines, Rizal",139,..,..,..,"*Philippines, Rizal",124,..,..,..,
Asia, Qatar: Qatari,228,36.5 (2.42),53.8 (3.74),.., Qatar: Qatari,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Qatar: Qatari,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Qatar: Qatari,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Qatar: Qatari,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Qatar: Qatari,1,1.9 (1.86),1.9 (1.86),0.01 (0.009), Qatar: Qatari,5,10.4 (4.64),10.4 (4.64),0.05 (0.023), Qatar: Qatari,9,21.4 (7.14),21.4 (7.14),0.11 (0.036), Qatar: Qatari,17,46.1 (11.19),46.1 (11.19),0.23 (0.056), Qatar: Qatari,39,115.4 (18.48),115.4 (18.48),0.58 (0.092), Qatar: Qatari,31,106.0 (19.04),106.0 (19.04),0.53 (0.095), Qatar: Qatari,43,180.9 (27.58),180.9 (27.58),0.90 (0.138), Qatar: Qatari,34,217.8 (37.35),217.8 (37.35),1.09 (0.187), Qatar: Qatari,13,131.6 (36.49),131.6 (36.49),0.66 (0.182), Qatar: Qatari,14,177.9 (47.54),177.9 (47.54),0.89 (0.238), Qatar: Qatari,13,230.8 (64.02),230.8 (64.02),1.15 (0.320), Qatar: Qatari,5,151.2 (67.64),151.2 (67.64),0.76 (0.338), Qatar: Qatari,3,..,..,.., Qatar: Qatari,1,..,..,..,
Asia,"*Saudi Arabia, Riyadh: Saudi",1944,18.9 (0.43),24.5 (0.61),..,"*Saudi Arabia, Riyadh: Saudi",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Saudi Arabia, Riyadh: Saudi",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Saudi Arabia, Riyadh: Saudi",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Saudi Arabia, Riyadh: Saudi",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Saudi Arabia, Riyadh: Saudi",13,1.4 (0.38),1.4 (0.38),0.01 (0.002),"*Saudi Arabia, Riyadh: Saudi",69,6.8 (0.82),6.8 (0.82),0.03 (0.004),"*Saudi Arabia, Riyadh: Saudi",127,14.6 (1.30),14.6 (1.30),0.07 (0.006),"*Saudi Arabia, Riyadh: Saudi",176,23.0 (1.73),23.0 (1.73),0.11 (0.009),"*Saudi Arabia, Riyadh: Saudi",301,48.0 (2.77),48.0 (2.77),0.24 (0.014),"*Saudi Arabia, Riyadh: Saudi",355,64.9 (3.44),64.9 (3.44),0.32 (0.017),"*Saudi Arabia, Riyadh: Saudi",269,55.9 (3.41),55.9 (3.41),0.28 (0.017),"*Saudi Arabia, Riyadh: Saudi",197,69.1 (4.92),69.1 (4.92),0.35 (0.025),"*Saudi Arabia, Riyadh: Saudi",161,89.5 (7.05),89.5 (7.05),0.45 (0.035),"*Saudi Arabia, Riyadh: Saudi",113,99.0 (9.32),99.0 (9.32),0.50 (0.047),"*Saudi Arabia, Riyadh: Saudi",74,78.5 (9.12),78.5 (9.12),0.39 (0.046),"*Saudi Arabia, Riyadh: Saudi",49,..,..,..,"*Saudi Arabia, Riyadh: Saudi",24,..,..,..,"*Saudi Arabia, Riyadh: Saudi",16,..,..,..,
Asia," Thailand, Bangkok",4890,41.7 (0.60),35.0 (0.51),..," Thailand, Bangkok",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Thailand, Bangkok",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Thailand, Bangkok",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Thailand, Bangkok",4,0.5 (0.26),0.5 (0.26),0.00 (0.001)," Thailand, Bangkok",7,0.6 (0.23),0.6 (0.23),0.00 (0.001)," Thailand, Bangkok",45,3.5 (0.52),3.5 (0.52),0.02 (0.003)," Thailand, Bangkok",129,10.1 (0.89),10.1 (0.89),0.05 (0.004)," Thailand, Bangkok",270,23.8 (1.45),23.8 (1.45),0.12 (0.007)," Thailand, Bangkok",520,48.5 (2.13),48.5 (2.13),0.24 (0.011)," Thailand, Bangkok",790,86.0 (3.06),86.0 (3.06),0.43 (0.015)," Thailand, Bangkok",830,110.9 (3.85),110.9 (3.85),0.55 (0.019)," Thailand, Bangkok",760,133.9 (4.86),133.9 (4.86),0.67 (0.024)," Thailand, Bangkok",515,128.8 (5.67),128.8 (5.67),0.64 (0.028)," Thailand, Bangkok",370,127.5 (6.63),127.5 (6.63),0.64 (0.033)," Thailand, Bangkok",290,126.9 (7.45),126.9 (7.45),0.63 (0.037)," Thailand, Bangkok",199,122.7 (8.70),122.7 (8.70),0.61 (0.043)," Thailand, Bangkok",108,101.4 (9.76),101.4 (9.76),0.51 (0.049)," Thailand, Bangkok",53,69.7 (9.58),69.7 (9.58),..,
Asia," Thailand, Chiang Mai",1700,42.9 (1.04),29.7 (0.74),..," Thailand, Chiang Mai",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Thailand, Chiang Mai",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Thailand, Chiang Mai",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Thailand, Chiang Mai",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Thailand, Chiang Mai",2,0.7 (0.48),0.7 (0.48),0.00 (0.002)," Thailand, Chiang Mai",14,4.7 (1.25),4.7 (1.25),0.02 (0.006)," Thailand, Chiang Mai",41,14.0 (2.18),14.0 (2.18),0.07 (0.011)," Thailand, Chiang Mai",117,41.4 (3.83),41.4 (3.83),0.21 (0.019)," Thailand, Chiang Mai",170,53.7 (4.12),53.7 (4.12),0.27 (0.021)," Thailand, Chiang Mai",316,87.0 (4.89),87.0 (4.89),0.43 (0.024)," Thailand, Chiang Mai",345,96.8 (5.21),96.8 (5.21),0.48 (0.026)," Thailand, Chiang Mai",266,96.2 (5.90),96.2 (5.90),0.48 (0.029)," Thailand, Chiang Mai",164,95.7 (7.47),95.7 (7.47),0.48 (0.037)," Thailand, Chiang Mai",78,73.0 (8.27),73.0 (8.27),0.37 (0.041)," Thailand, Chiang Mai",83,81.9 (8.99),81.9 (8.99),0.41 (0.045)," Thailand, Chiang Mai",63,70.5 (8.88),70.5 (8.88),0.35 (0.044)," Thailand, Chiang Mai",23,41.7 (8.69),41.7 (8.69),0.21 (0.043)," Thailand, Chiang Mai",18,51.3 (12.09),51.3 (12.09),..,
Asia," Thailand, Chonburi",1224,46.8 (1.34),37.4 (1.10),..," Thailand, Chonburi",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Thailand, Chonburi",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Thailand, Chonburi",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Thailand, Chonburi",1,0.5 (0.54),0.5 (0.54),0.00 (0.003)," Thailand, Chonburi",3,1.7 (0.98),1.7 (0.98),0.01 (0.005)," Thailand, Chonburi",14,6.6 (1.77),6.6 (1.77),0.03 (0.009)," Thailand, Chonburi",66,26.6 (3.27),26.6 (3.27),0.13 (0.016)," Thailand, Chonburi",130,52.3 (4.58),52.3 (4.58),0.26 (0.023)," Thailand, Chonburi",193,80.7 (5.81),80.7 (5.81),0.40 (0.029)," Thailand, Chonburi",244,117.7 (7.54),117.7 (7.54),0.59 (0.038)," Thailand, Chonburi",184,111.0 (8.19),111.0 (8.19),0.56 (0.041)," Thailand, Chonburi",147,116.5 (9.61),116.5 (9.61),0.58 (0.048)," Thailand, Chonburi",84,96.0 (10.47),96.0 (10.47),0.48 (0.052)," Thailand, Chonburi",71,109.2 (12.96),109.2 (12.96),0.55 (0.065)," Thailand, Chonburi",41,77.4 (12.09),77.4 (12.09),0.39 (0.060)," Thailand, Chonburi",25,66.7 (13.34),66.7 (13.34),0.33 (0.067)," Thailand, Chonburi",12,53.8 (15.54),53.8 (15.54),0.27 (0.078)," Thailand, Chonburi",9,52.3 (17.44),52.3 (17.44),..,
Asia," Thailand, Khon Kaen",1355,30.6 (0.83),22.2 (0.61),..," Thailand, Khon Kaen",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Thailand, Khon Kaen",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Thailand, Khon Kaen",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Thailand, Khon Kaen",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Thailand, Khon Kaen",1,0.3 (0.31),0.3 (0.31),0.00 (0.002)," Thailand, Khon Kaen",17,6.7 (1.62),6.7 (1.62),0.03 (0.008)," Thailand, Khon Kaen",45,15.1 (2.24),15.1 (2.24),0.08 (0.011)," Thailand, Khon Kaen",101,29.1 (2.90),29.1 (2.90),0.15 (0.014)," Thailand, Khon Kaen",193,48.8 (3.51),48.8 (3.51),0.24 (0.018)," Thailand, Khon Kaen",241,66.9 (4.31),66.9 (4.31),0.33 (0.022)," Thailand, Khon Kaen",213,66.8 (4.57),66.8 (4.57),0.33 (0.023)," Thailand, Khon Kaen",196,71.6 (5.11),71.6 (5.11),0.36 (0.026)," Thailand, Khon Kaen",149,67.4 (5.52),67.4 (5.52),0.34 (0.028)," Thailand, Khon Kaen",97,57.1 (5.79),57.1 (5.79),0.29 (0.029)," Thailand, Khon Kaen",44,37.6 (5.67),37.6 (5.67),0.19 (0.028)," Thailand, Khon Kaen",33,38.3 (6.67),38.3 (6.67),0.19 (0.033)," Thailand, Khon Kaen",18,36.9 (8.71),36.9 (8.71),0.18 (0.044)," Thailand, Khon Kaen",7,24.5 (9.28),24.5 (9.28),..,
Asia," Thailand, Lampang",787,42.1 (1.50),25.6 (0.94),..," Thailand, Lampang",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Thailand, Lampang",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Thailand, Lampang",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Thailand, Lampang",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Thailand, Lampang",1,1.1 (1.12),1.1 (1.12),0.01 (0.006)," Thailand, Lampang",3,3.6 (2.10),3.6 (2.10),0.02 (0.011)," Thailand, Lampang",15,14.4 (3.71),14.4 (3.71),0.07 (0.019)," Thailand, Lampang",41,30.0 (4.68),30.0 (4.68),0.15 (0.023)," Thailand, Lampang",94,55.2 (5.69),55.2 (5.69),0.28 (0.028)," Thailand, Lampang",157,81.8 (6.53),81.8 (6.53),0.41 (0.033)," Thailand, Lampang",149,83.4 (6.83),83.4 (6.83),0.42 (0.034)," Thailand, Lampang",111,75.0 (7.12),75.0 (7.12),0.38 (0.036)," Thailand, Lampang",67,68.0 (8.31),68.0 (8.31),0.34 (0.042)," Thailand, Lampang",47,62.0 (9.04),62.0 (9.04),0.31 (0.045)," Thailand, Lampang",54,85.3 (11.60),85.3 (11.60),0.43 (0.058)," Thailand, Lampang",28,49.3 (9.31),49.3 (9.31),0.25 (0.047)," Thailand, Lampang",15,44.4 (11.46),44.4 (11.46),0.22 (0.057)," Thailand, Lampang",5,24.8 (11.07),24.8 (11.07),..,
Asia,"*Thailand, Lopburi",734,48.4 (1.79),35.7 (1.34),..,"*Thailand, Lopburi",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Thailand, Lopburi",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Thailand, Lopburi",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Thailand, Lopburi",3,2.8 (1.60),2.8 (1.60),0.01 (0.008),"*Thailand, Lopburi",5,5.3 (2.38),5.3 (2.38),0.03 (0.012),"*Thailand, Lopburi",17,16.9 (4.10),16.9 (4.10),0.08 (0.021),"*Thailand, Lopburi",26,22.9 (4.49),22.9 (4.49),0.11 (0.022),"*Thailand, Lopburi",56,45.9 (6.14),45.9 (6.14),0.23 (0.031),"*Thailand, Lopburi",96,73.5 (7.50),73.5 (7.50),0.37 (0.037),"*Thailand, Lopburi",131,102.6 (8.96),102.6 (8.96),0.51 (0.045),"*Thailand, Lopburi",129,119.0 (10.48),119.0 (10.48),0.60 (0.052),"*Thailand, Lopburi",79,88.7 (9.97),88.7 (9.97),0.44 (0.050),"*Thailand, Lopburi",79,111.7 (12.57),111.7 (12.57),0.56 (0.063),"*Thailand, Lopburi",34,62.7 (10.76),62.7 (10.76),0.31 (0.054),"*Thailand, Lopburi",47,103.1 (15.04),103.1 (15.04),0.52 (0.075),"*Thailand, Lopburi",21,66.0 (14.40),66.0 (14.40),0.33 (0.072),"*Thailand, Lopburi",7,37.2 (14.05),37.2 (14.05),0.19 (0.070),"*Thailand, Lopburi",4,42.6 (21.29),42.6 (21.29),..,
Asia," Thailand, Songkhla",1120,30.0 (0.90),24.8 (0.75),..," Thailand, Songkhla",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Thailand, Songkhla",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Thailand, Songkhla",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Thailand, Songkhla",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Thailand, Songkhla",1,0.3 (0.30),0.3 (0.30),0.00 (0.001)," Thailand, Songkhla",13,4.6 (1.27),4.6 (1.27),0.02 (0.006)," Thailand, Songkhla",41,13.5 (2.10),13.5 (2.10),0.07 (0.011)," Thailand, Songkhla",104,33.9 (3.33),33.9 (3.33),0.17 (0.017)," Thailand, Songkhla",126,43.4 (3.87),43.4 (3.87),0.22 (0.019)," Thailand, Songkhla",196,72.6 (5.19),72.6 (5.19),0.36 (0.026)," Thailand, Songkhla",201,89.7 (6.33),89.7 (6.33),0.45 (0.032)," Thailand, Songkhla",159,87.8 (6.96),87.8 (6.96),0.44 (0.035)," Thailand, Songkhla",91,66.2 (6.94),66.2 (6.94),0.33 (0.035)," Thailand, Songkhla",70,66.2 (7.91),66.2 (7.91),0.33 (0.040)," Thailand, Songkhla",46,52.8 (7.79),52.8 (7.79),0.26 (0.039)," Thailand, Songkhla",44,61.8 (9.32),61.8 (9.32),0.31 (0.047)," Thailand, Songkhla",22,48.8 (10.41),48.8 (10.41),0.24 (0.052)," Thailand, Songkhla",6,18.7 (7.62),18.7 (7.62),..,
Asia," Turkey, Antalya",2129,43.6 (0.94),39.5 (0.87),..," Turkey, Antalya",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Turkey, Antalya",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Turkey, Antalya",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Turkey, Antalya",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Turkey, Antalya",3,0.8 (0.47),0.8 (0.47),0.00 (0.002)," Turkey, Antalya",40,9.2 (1.46),9.2 (1.46),0.05 (0.007)," Turkey, Antalya",96,21.2 (2.16),21.2 (2.16),0.11 (0.011)," Turkey, Antalya",205,48.1 (3.36),48.1 (3.36),0.24 (0.017)," Turkey, Antalya",299,82.6 (4.78),82.6 (4.78),0.41 (0.024)," Turkey, Antalya",343,101.8 (5.50),101.8 (5.50),0.51 (0.027)," Turkey, Antalya",297,111.1 (6.45),111.1 (6.45),0.56 (0.032)," Turkey, Antalya",258,118.5 (7.38),118.5 (7.38),0.59 (0.037)," Turkey, Antalya",202,124.7 (8.78),124.7 (8.78),0.62 (0.044)," Turkey, Antalya",162,136.7 (10.74),136.7 (10.74),0.68 (0.054)," Turkey, Antalya",98,110.3 (11.14),110.3 (11.14),0.55 (0.056)," Turkey, Antalya",65,93.3 (11.57),93.3 (11.57),0.47 (0.058)," Turkey, Antalya",42,94.3 (14.55),94.3 (14.55),0.47 (0.073)," Turkey, Antalya",19,86.4 (19.82),86.4 (19.82),..,
Asia," Turkey, Bursa",2857,43.9 (0.82),37.8 (0.72),..," Turkey, Bursa",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Turkey, Bursa",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Turkey, Bursa",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Turkey, Bursa",1,0.2 (0.20),0.2 (0.20),0.00 (0.001)," Turkey, Bursa",9,1.7 (0.57),1.7 (0.57),0.01 (0.003)," Turkey, Bursa",48,8.2 (1.19),8.2 (1.19),0.04 (0.006)," Turkey, Bursa",138,23.9 (2.03),23.9 (2.04),0.12 (0.010)," Turkey, Bursa",242,46.1 (2.96),46.1 (2.96),0.23 (0.015)," Turkey, Bursa",349,76.1 (4.08),76.2 (4.08),0.38 (0.020)," Turkey, Bursa",432,98.6 (4.74),98.6 (4.74),0.49 (0.024)," Turkey, Bursa",410,109.9 (5.43),109.9 (5.43),0.55 (0.027)," Turkey, Bursa",367,117.1 (6.11),117.1 (6.11),0.59 (0.031)," Turkey, Bursa",271,111.9 (6.80),112.0 (6.80),0.56 (0.034)," Turkey, Bursa",212,117.4 (8.06),117.4 (8.07),0.59 (0.040)," Turkey, Bursa",164,114.0 (8.90),114.0 (8.90),0.57 (0.045)," Turkey, Bursa",130,114.3 (10.02),114.3 (10.02),0.57 (0.050)," Turkey, Bursa",63,89.8 (11.31),89.8 (11.31),0.45 (0.057)," Turkey, Bursa",20,57.9 (12.94),57.9 (12.94),..,
Asia," Turkey, Edirne",466,48.0 (2.22),34.1 (1.61),..," Turkey, Edirne",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Turkey, Edirne",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Turkey, Edirne",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Turkey, Edirne",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," Turkey, Edirne",1,1.3 (1.35),1.3 (1.35),0.01 (0.007)," Turkey, Edirne",3,4.3 (2.48),4.3 (2.48),0.02 (0.012)," Turkey, Edirne",15,21.2 (5.46),21.2 (5.46),0.11 (0.027)," Turkey, Edirne",25,35.8 (7.15),35.8 (7.15),0.18 (0.036)," Turkey, Edirne",53,74.3 (10.21),74.3 (10.21),0.37 (0.051)," Turkey, Edirne",83,108.1 (11.86),108.1 (11.86),0.54 (0.059)," Turkey, Edirne",72,98.6 (11.62),98.6 (11.62),0.49 (0.058)," Turkey, Edirne",60,96.4 (12.45),96.4 (12.45),0.48 (0.062)," Turkey, Edirne",51,107.1 (15.00),107.1 (15.00),0.54 (0.075)," Turkey, Edirne",37,104.1 (17.12),104.1 (17.12),0.52 (0.086)," Turkey, Edirne",27,80.2 (15.44),80.2 (15.44),0.40 (0.077)," Turkey, Edirne",29,100.7 (18.70),100.7 (18.70),0.50 (0.094)," Turkey, Edirne",4,21.5 (10.74),21.5 (10.74),0.11 (0.054)," Turkey, Edirne",6,67.9 (27.70),67.9 (27.70),..,
